대학명,학과명,전형유형,전형명,지원자격,합격 등급
가야대,간호학과,교과,기초생활,"기초생활, 차상위, 한부모",3.88
가야대,물리치료학과,교과,기초생활,"기초생활, 차상위, 한부모",4.5
가야대,간호학과,교과,농어촌학생,농어촌,4
가야대,간호학과,교과,특성화고교졸업자,특성화고,2.63
가천대,약학과,종합,교육기회균형,"기초생활, 차상위, 한부모",2.87
가천대,AI인문대학,종합,기회균형,"기초생활, 차상위, 한부모",5.67
가천대,간호학과,종합,기회균형,"기초생활, 차상위, 한부모",3.88
가천대,건설환경공학과,종합,기회균형,"기초생활, 차상위, 한부모",4.79
가천대,건축학부,종합,기회균형,"기초생활, 차상위, 한부모",4.44
가천대,경영학과,종합,기회균형,"기초생활, 차상위, 한부모",5.23
가천대,경제학과,종합,기회균형,"기초생활, 차상위, 한부모",5.54
가천대,관광경영학과,종합,기회균형,"기초생활, 차상위, 한부모",4.82
가천대,금융·빅데이터학부,종합,기회균형,"기초생활, 차상위, 한부모",5.63
가천대,기계공학부,종합,기회균형,"기초생활, 차상위, 한부모",5.85
가천대,도시계획·조경학부,종합,기회균형,"기초생활, 차상위, 한부모",4.43
가천대,미디어커뮤니케이션학과,종합,기회균형,"기초생활, 차상위, 한부모",4.39
가천대,바이오나노학과,종합,기회균형,"기초생활, 차상위, 한부모",5.08
가천대,반도체대학,종합,기회균형,"기초생활, 차상위, 한부모",6.25
가천대,반도체물리학과,종합,기회균형,"기초생활, 차상위, 한부모",5.73
가천대,법과대학,종합,기회균형,"기초생활, 차상위, 한부모",4.06
가천대,사회복지학과,종합,기회균형,"기초생활, 차상위, 한부모",4.66
가천대,생명과학과,종합,기회균형,"기초생활, 차상위, 한부모",2.75
가천대,식품생명공학과,종합,기회균형,"기초생활, 차상위, 한부모",4.36
가천대,식품영양학과,종합,기회균형,"기초생활, 차상위, 한부모",3.56
가천대,신소재공학과,종합,기회균형,"기초생활, 차상위, 한부모",4.6
가천대,심리학과,종합,기회균형,"기초생활, 차상위, 한부모",4.2
가천대,유아교육학과,종합,기회균형,"기초생활, 차상위, 한부모",4.2
가천대,응용통계학과,종합,기회균형,"기초생활, 차상위, 한부모",4.78
가천대,의공학과,종합,기회균형,"기초생활, 차상위, 한부모",4.56
가천대,의료산업경영학과,종합,기회균형,"기초생활, 차상위, 한부모",6.12
가천대,의예과,종합,기회균형,"기초생활, 차상위, 한부모",2.51
가천대,인공지능학과,종합,기회균형,"기초생활, 차상위, 한부모",4.56
가천대,전기공학과,종합,기회균형,"기초생활, 차상위, 한부모",4.75
가천대,컴퓨터공학과,종합,기회균형,"기초생활, 차상위, 한부모",5.1
가천대,패션산업학과,종합,기회균형,"기초생활, 차상위, 한부모",5.09
가천대,화공생명배터리공학부,종합,기회균형,"기초생활, 차상위, 한부모",3.9
가천대,화학과,종합,기회균형,"기초생활, 차상위, 한부모",4.05
가천대,회계세무학과,종합,기회균형,"기초생활, 차상위, 한부모",5.82
가천대,AI인문대학,교과,농어촌(교과),농어촌,3.08
가천대,간호학과,교과,농어촌(교과),농어촌,1.67
가천대,건설환경공학과(신설),교과,농어촌(교과),농어촌,-
가천대,건축공학과,교과,농어촌(교과),농어촌,2
가천대,건축학부,교과,농어촌(교과),농어촌,2
가천대,경영학과,교과,농어촌(교과),농어촌,1.5
가천대,경제학과,교과,농어촌(교과),농어촌,3.92
가천대,관광경영학과,교과,농어촌(교과),농어촌,2.36
가천대,금융·빅데이터학부,교과,농어촌(교과),농어촌,3
가천대,기계공학부,교과,농어촌(교과),농어촌,3.57
가천대,도시계획·조경학부(신설),교과,농어촌(교과),농어촌,-
가천대,물리치료학과,교과,농어촌(교과),농어촌,1.75
가천대,미디어커뮤니케이션학과,교과,농어촌(교과),농어촌,1.67
가천대,바이오나노학과,교과,농어촌(교과),농어촌,2.61
가천대,바이오로직스학과(신설),교과,농어촌(교과),농어촌,-
가천대,반도체대학,교과,농어촌(교과),농어촌,2.38
가천대,반도체물리학과,교과,농어촌(교과),농어촌,3.42
가천대,방사선학과,교과,농어촌(교과),농어촌,2.24
가천대,법과대학,교과,농어촌(교과),농어촌,2.8
가천대,사회복지학과,교과,농어촌(교과),농어촌,1.5
가천대,생명과학과,교과,농어촌(교과),농어촌,3.16
가천대,스마트시티학과,교과,농어촌(교과),농어촌,1.75
가천대,식품생명공학과,교과,농어촌(교과),농어촌,2.11
가천대,식품영양학과,교과,농어촌(교과),농어촌,2.67
가천대,신소재공학과,교과,농어촌(교과),농어촌,3.66
가천대,심리학과,교과,농어촌(교과),농어촌,2.61
가천대,약학과,교과,농어촌(교과),농어촌,1.28
가천대,운동재활학과,교과,농어촌(교과),농어촌,2
가천대,응용통계학과,교과,농어촌(교과),농어촌,3
가천대,의공학과,교과,농어촌(교과),농어촌,2.61
가천대,의료산업경영학과,교과,농어촌(교과),농어촌,3.02
가천대,의예과,교과,농어촌(교과),농어촌,1.05
가천대,인공지능학과,교과,농어촌(교과),농어촌,2.57
가천대,전기공학과,교과,농어촌(교과),농어촌,2.86
가천대,치위생학과,교과,농어촌(교과),농어촌,2.79
가천대,컴퓨터공학과,교과,농어촌(교과),농어촌,1.75
가천대,패션산업학과,교과,농어촌(교과),농어촌,2.96
가천대,한의예과,교과,농어촌(교과),농어촌,1.4
가천대,화공생명배터리공학부,교과,농어촌(교과),농어촌,3.53
가천대,화학과,교과,농어촌(교과),농어촌,4.4
가천대,AI인문대학,종합,농어촌(종합),농어촌,5.34
가천대,간호학과,종합,농어촌(종합),농어촌,2.85
가천대,건설환경공학과(신설),종합,농어촌(종합),농어촌,-
가천대,건축학부,종합,농어촌(종합),농어촌,4.48
가천대,경영학과,종합,농어촌(종합),농어촌,4.36
가천대,경제학과,종합,농어촌(종합),농어촌,4.53
가천대,관광경영학과,종합,농어촌(종합),농어촌,4.37
가천대,금융·빅데이터학부,종합,농어촌(종합),농어촌,5.64
가천대,기계공학부,종합,농어촌(종합),농어촌,5.06
가천대,도시계획·조경학부,종합,농어촌(종합),농어촌,4.41
가천대,물리치료학과,종합,농어촌(종합),농어촌,5.47
가천대,미디어커뮤니케이션학과,종합,농어촌(종합),농어촌,4.41
가천대,바이오로직스학과,종합,농어촌(종합),농어촌,4.55
가천대,반도체대학,종합,농어촌(종합),농어촌,3.98
가천대,방사선학과,종합,농어촌(종합),농어촌,4.26
가천대,법과대학,종합,농어촌(종합),농어촌,4.01
가천대,사회복지학과,종합,농어촌(종합),농어촌,3.47
가천대,생명과학과,종합,농어촌(종합),농어촌,5.06
가천대,스마트시티학과(신설),종합,농어촌(종합),농어촌,-
가천대,식품영양학과,종합,농어촌(종합),농어촌,4.5
가천대,신소재공학과,종합,농어촌(종합),농어촌,3.59
가천대,심리학과,종합,농어촌(종합),농어촌,5.74
가천대,응용통계학과,종합,농어촌(종합),농어촌,4.48
가천대,의공학과,종합,농어촌(종합),농어촌,6.42
가천대,의예과,종합,농어촌(종합),농어촌,2.85
가천대,인공지능학과,종합,농어촌(종합),농어촌,4.46
가천대,전기공학과,종합,농어촌(종합),농어촌,4.25
가천대,치위생학과,종합,농어촌(종합),농어촌,4.96
가천대,컴퓨터공학과,종합,농어촌(종합),농어촌,3.55
가천대,패션산업학과,종합,농어촌(종합),농어촌,4.38
가천대,화공생명배터리공학부,종합,농어촌(종합),농어촌,3.79
가천대,화학과,종합,농어촌(종합),농어촌,3.11
가천대,간호학과,교과,특성화고교,특성화고,1.63
가천대,건설환경공학과,교과,특성화고교,특성화고,2.95
가천대,건축학부,교과,특성화고교,특성화고,2.31
가천대,경영학과,교과,특성화고교,특성화고,2.82
가천대,경제학과,교과,특성화고교,특성화고,2.71
가천대,관광경영학과,교과,특성화고교,특성화고,1.55
가천대,기계공학부,교과,특성화고교,특성화고,2.13
가천대,도시계획·조경학부,교과,특성화고교,특성화고,1.52
가천대,미디어커뮤니케이션학과,교과,특성화고교,특성화고,2.25
가천대,반도체대학,교과,특성화고교,특성화고,2.38
가천대,법과대학,교과,특성화고교,특성화고,1.73
가천대,사회복지학과,교과,특성화고교,특성화고,2.78
가천대,식품생명공학과,교과,특성화고교,특성화고,1.8
가천대,식품영양학과,교과,특성화고교,특성화고,2.5
가천대,신소재공학과,교과,특성화고교,특성화고,2.92
가천대,의료산업경영학과,교과,특성화고교,특성화고,2.13
가천대,인공지능학과(신설),교과,특성화고교,특성화고,-
가천대,전기공학과,교과,특성화고교,특성화고,2.3
가천대,컴퓨터공학과,교과,특성화고교,특성화고,2.71
가천대,패션산업학과,교과,특성화고교,특성화고,2.52
가천대,화공생명배터리공학부,교과,특성화고교,특성화고,1.81
가톨릭관동대,AI·소프트웨어융합학부,교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,CG디자인전공,교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,간호학과,교과,기초생활및차상위,"기초생활, 차상위, 한부모",3.65
가톨릭관동대,건축공학전공,교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,건축학전공(5년제),교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,경영학전공,교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,경찰학부,교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,광고홍보학전공,교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,국어교육과,교과,기초생활및차상위,"기초생활, 차상위, 한부모",6.81
가톨릭관동대,미디어콘텐츠전공,교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,사회복지학전공,교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,수학교육과,교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,실용음악전공,교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,역사교육과,교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,영어교육과,교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,의료경영학전공,교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,의생명과학전공,교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,의학과(의예과),교과,기초생활및차상위,"기초생활, 차상위, 한부모",1.52
가톨릭관동대,임상병리학과,교과,기초생활및차상위,"기초생활, 차상위, 한부모",4.76
가톨릭관동대,자율전공학부,교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,작업치료학과(신설),교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,조리외식경영학전공,교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,지리교육과,교과,기초생활및차상위,"기초생활, 차상위, 한부모",5.36
가톨릭관동대,치위생학과,교과,기초생활및차상위,"기초생활, 차상위, 한부모",4.85
가톨릭관동대,컴퓨터교육과,교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,항공교통물류전공,교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,항공정비학전공,교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,행정학전공,교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,호텔관광경영학전공,교과,기초생활및차상위,"기초생활, 차상위, 한부모",-
가톨릭관동대,간호학과,교과,기회균형,"농어촌, 특성화고, 기초생활, 차상위, 한부모",4.11
가톨릭관동대,경찰학부,교과,기회균형,"농어촌, 특성화고, 기초생활, 차상위, 한부모",6.82
가톨릭관동대,국어교육과,교과,기회균형,"농어촌, 특성화고, 기초생활, 차상위, 한부모",4.83
가톨릭관동대,사회복지학전공,교과,기회균형,"농어촌, 특성화고, 기초생활, 차상위, 한부모",6.6
가톨릭관동대,역사교육과,교과,기회균형,"농어촌, 특성화고, 기초생활, 차상위, 한부모",3.55
가톨릭관동대,의학과(의예과),교과,기회균형,"농어촌, 특성화고, 기초생활, 차상위, 한부모",1.18
가톨릭관동대,임상병리학과,교과,기회균형,"농어촌, 특성화고, 기초생활, 차상위, 한부모",4.11
가톨릭관동대,자율전공학부,교과,기회균형,"농어촌, 특성화고, 기초생활, 차상위, 한부모",6.73
가톨릭관동대,작업치료학과(신설),교과,기회균형,"농어촌, 특성화고, 기초생활, 차상위, 한부모",-
가톨릭관동대,지리교육과,교과,기회균형,"농어촌, 특성화고, 기초생활, 차상위, 한부모",5.16
가톨릭관동대,치위생학과,교과,기회균형,"농어촌, 특성화고, 기초생활, 차상위, 한부모",5.34
가톨릭관동대,컴퓨터교육과(신설),교과,기회균형,"농어촌, 특성화고, 기초생활, 차상위, 한부모",-
가톨릭관동대,행정학전공,교과,기회균형,"농어촌, 특성화고, 기초생활, 차상위, 한부모",-
가톨릭관동대,AI·소프트웨어융합학부,교과,농어촌학생,농어촌,-
가톨릭관동대,CG디자인전공,교과,농어촌학생,농어촌,-
가톨릭관동대,간호학과,교과,농어촌학생,농어촌,3.84
가톨릭관동대,건축공학전공,교과,농어촌학생,농어촌,-
가톨릭관동대,건축학전공(5년제),교과,농어촌학생,농어촌,-
가톨릭관동대,경영학전공,교과,농어촌학생,농어촌,-
가톨릭관동대,경찰학부,교과,농어촌학생,농어촌,5.61
가톨릭관동대,광고홍보학전공,교과,농어촌학생,농어촌,-
가톨릭관동대,국어교육과,교과,농어촌학생,농어촌,-
가톨릭관동대,미디어콘텐츠전공,교과,농어촌학생,농어촌,-
가톨릭관동대,사회복지학전공,교과,농어촌학생,농어촌,-
가톨릭관동대,수학교육과,교과,농어촌학생,농어촌,-
가톨릭관동대,실용음악전공,교과,농어촌학생,농어촌,-
가톨릭관동대,역사교육과,교과,농어촌학생,농어촌,4.65
가톨릭관동대,영어교육과,교과,농어촌학생,농어촌,-
가톨릭관동대,의료경영학전공,교과,농어촌학생,농어촌,-
가톨릭관동대,의생명과학전공,교과,농어촌학생,농어촌,-
가톨릭관동대,의학과(의예과),교과,농어촌학생,농어촌,1.16
가톨릭관동대,임상병리학과,교과,농어촌학생,농어촌,4.89
가톨릭관동대,자율전공학부,교과,농어촌학생,농어촌,-
가톨릭관동대,작업치료학과(신설),교과,농어촌학생,농어촌,-
가톨릭관동대,조리외식경영학전공,교과,농어촌학생,농어촌,5.59
가톨릭관동대,지리교육과,교과,농어촌학생,농어촌,-
가톨릭관동대,치위생학과,교과,농어촌학생,농어촌,4.82
가톨릭관동대,컴퓨터교육과,교과,농어촌학생,농어촌,-
가톨릭관동대,항공교통물류전공,교과,농어촌학생,농어촌,-
가톨릭관동대,항공정비학전공,교과,농어촌학생,농어촌,-
가톨릭관동대,행정학전공,교과,농어촌학생,농어촌,-
가톨릭관동대,호텔관광경영학전공,교과,농어촌학생,농어촌,-
가톨릭꽃동네대,간호학과,교과,경제배려대상자,"기초생활, 차상위, 한부모",-
가톨릭꽃동네대,간호학과,교과,농어촌,농어촌,-
가톨릭꽃동네대,간호학과,교과,특성화고교,특성화고,-
가톨릭대,경영학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",3.81
가톨릭대,경제학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",3.98
가톨릭대,공간디자인·소비자학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",4.69
가톨릭대,국사학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",4.12
가톨릭대,국어국문학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",3.36
가톨릭대,국제학부,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",7.46
가톨릭대,데이터사이언스학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",5.84
가톨릭대,물리학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",3.76
가톨릭대,미디어기술콘텐츠학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",3.77
가톨릭대,바이오메디컬소프트웨어학과(신설),종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",-
가톨릭대,바이오메디컬화학공학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",6.22
가톨릭대,법학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",5.6
가톨릭대,사회복지학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",3.52
가톨릭대,사회학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",4.85
가톨릭대,생명공학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",3.6
가톨릭대,수학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",3.75
가톨릭대,식품영양학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",3.92
가톨릭대,심리학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",2.97
가톨릭대,아동학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",4.59
가톨릭대,에너지환경공학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",4.75
가톨릭대,영어영문학부,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",6.54
가톨릭대,의류학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",4.39
가톨릭대,의생명과학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",6.94
가톨릭대,인공지능학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",4.43
가톨릭대,인문사회계열(신설),종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",-
가톨릭대,일어일본문화학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",6.39
가톨릭대,자연공학계열(신설),종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",-
가톨릭대,정보통신전자공학부,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",4.01
가톨릭대,중국언어문화학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",6.8
가톨릭대,철학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",4.54
가톨릭대,컴퓨터정보공학부,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",4.08
가톨릭대,행정학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",3.98
가톨릭대,화학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",3.05
가톨릭대,회계학과,종합,기회균형Ⅰ,"농어촌, 기초생활, 차상위, 한부모",4.69
가톨릭대,AI의공학과(신설),종합,기회균형Ⅱ,"기초생활, 차상위, 한부모",-
가톨릭대,바이오로직스공학부(신설),종합,기회균형Ⅱ,"기초생활, 차상위, 한부모",-
가톨릭대,약학과,종합,기회균형Ⅱ,"기초생활, 차상위, 한부모",1.74
가톨릭대,신학과,교과,농어촌학생,농어촌,-
가톨릭대,약학과,교과,농어촌학생,농어촌,1.03
가톨릭대,인문사회계열,교과,농어촌학생,농어촌,3.24
가톨릭대,자연공학계열,교과,농어촌학생,농어촌,2.87
가톨릭대,경영학과,교과,특성화고교졸업자,특성화고,2.5
가톨릭대,공간디자인·소비자학과,교과,특성화고교졸업자,특성화고,2.41
가톨릭대,데이터사이언스학과(신설),교과,특성화고교졸업자,특성화고,-
가톨릭대,미디어기술콘텐츠학과,교과,특성화고교졸업자,특성화고,2.43
가톨릭대,식품영양학과,교과,특성화고교졸업자,특성화고,2.42
가톨릭대,아동학과,교과,특성화고교졸업자,특성화고,2.52
가톨릭대,의류학과,교과,특성화고교졸업자,특성화고,2.43
가톨릭대,인공지능학과(신설),교과,특성화고교졸업자,특성화고,-
가톨릭대,정보통신전자공학부,교과,특성화고교졸업자,특성화고,2.46
가톨릭대,컴퓨터정보공학부,교과,특성화고교졸업자,특성화고,2.43
가톨릭대,회계학과,교과,특성화고교졸업자,특성화고,2.32
강남대,법행정세무학부(신설),교과,기초차상위,"기초생활, 차상위, 한부모",-
강남대,법행정세무학부(야)(신설),교과,기초차상위,"기초생활, 차상위, 한부모",-
강남대,복지융합대학(신설),교과,기초차상위,"기초생활, 차상위, 한부모",-
강남대,부동산건설학부(신설),교과,기초차상위,"기초생활, 차상위, 한부모",-
강남대,사회복지학부(야)(신설),교과,기초차상위,"기초생활, 차상위, 한부모",-
강남대,상경학부(신설),교과,기초차상위,"기초생활, 차상위, 한부모",-
강남대,상경학부(야)(신설),교과,기초차상위,"기초생활, 차상위, 한부모",-
강남대,인공지능융합공학부(신설),교과,기초차상위,"기초생활, 차상위, 한부모",-
강남대,자유전공학부(신설),교과,기초차상위,"기초생활, 차상위, 한부모",-
강남대,전자반도체공학부(신설),교과,기초차상위,"기초생활, 차상위, 한부모",-
강남대,컴퓨터공학부(신설),교과,기초차상위,"기초생활, 차상위, 한부모",-
강남대,교육학과(사),교과,농어촌학생,농어촌,4.76
강남대,글로벌문화콘텐츠대학,교과,농어촌학생,농어촌,4.26
강남대,법행정세무학부,교과,농어촌학생,농어촌,4.35
강남대,복지융합대학,교과,농어촌학생,농어촌,5.03
강남대,부동산건설학부,교과,농어촌학생,농어촌,5.25
강남대,상경학부,교과,농어촌학생,농어촌,4.56
강남대,유아교육과(사),교과,농어촌학생,농어촌,4.29
강남대,인공지능융합공학부,교과,농어촌학생,농어촌,5.09
강남대,자유전공학부,교과,농어촌학생,농어촌,4.89
강남대,전자반도체공학부,교과,농어촌학생,농어촌,4.99
강남대,컴퓨터공학부,교과,농어촌학생,농어촌,5.18
강남대,디자인학과,교과,특성화고교졸업자,특성화고,2.24
강남대,법행정세무학부,교과,특성화고교졸업자,특성화고,2.45
강남대,법행정세무학부(야),교과,특성화고교졸업자,특성화고,-
강남대,상경학부,교과,특성화고교졸업자,특성화고,3.28
강남대,상경학부(야),교과,특성화고교졸업자,특성화고,2.77
강남대,인공지능융합공학부(신설),교과,특성화고교졸업자,특성화고,-
강남대,전자반도체공학부(신설),교과,특성화고교졸업자,특성화고,-
강남대,컴퓨터공학부,교과,특성화고교졸업자,특성화고,2.23
강서대,G2빅데이터경영학과,교과,기회균형할당제,"기초생활, 차상위, 한부모",4.17
강서대,간호학과,교과,기회균형할당제,"기초생활, 차상위, 한부모",4
강서대,사회복지학과,교과,기회균형할당제,"기초생활, 차상위, 한부모",4.48
강서대,상담심리학과,교과,기회균형할당제,"기초생활, 차상위, 한부모",4
강서대,식품영양학과,교과,기회균형할당제,"기초생활, 차상위, 한부모",-
강서대,신학과,교과,기회균형할당제,"기초생활, 차상위, 한부모",-
강서대,G2빅데이터경영학과,교과,농어촌학생,농어촌,4.57
강서대,간호학과,교과,농어촌학생,농어촌,4.47
강서대,사회복지학과,교과,농어촌학생,농어촌,-
강서대,상담심리학과,교과,농어촌학생,농어촌,4.68
강서대,식품영양학과,교과,농어촌학생,농어촌,-
강서대,신학과,교과,농어촌학생,농어촌,-
"강원대(강릉,원주)",AI콘텐츠공학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",5.29
"강원대(강릉,원주)",간호학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",건설환경공학부,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",경영학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",경제학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",관광경영학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",국어국문학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",국제통상학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",3.68
"강원대(강릉,원주)",기계융합공학부,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",4.21
"강원대(강릉,원주)",기계융합공학부,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",5.13
"강원대(강릉,원주)",다문화학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",대기환경과학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",5.45
"강원대(강릉,원주)",데이터사이언스학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",7
"강원대(강릉,원주)",도시계획·부동산학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",3.17
"강원대(강릉,원주)",디지털미디어커뮤니케이션학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",5.13
"강원대(강릉,원주)",무역학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",법률정책학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",5.13
"강원대(강릉,원주)",사학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",사회복지학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",산업경영공학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",5.67
"강원대(강릉,원주)",생명과학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",6.44
"강원대(강릉,원주)",수산생명의학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",수학물리학부,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",6.88
"강원대(강릉,원주)",식물생명과학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",6.41
"강원대(강릉,원주)",식품영양학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",5.9
"강원대(강릉,원주)",신소재·생명화학공학부,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",영어영문학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",유아교육과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",일본학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",자유전공학부,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",자유전공학부,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",자유전공학부,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",자유전공학부,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",자치행정학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",-
"강원대(강릉,원주)",전기공학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",-
"강원대(강릉,원주)",전자·반도체공학부,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",정보통신공학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",5.58
"강원대(강릉,원주)",조형예술·디자인학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",중어중문학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",철학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",치위생학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",컴퓨터공학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",5.59
"강원대(강릉,원주)",패션디자인학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
"강원대(강릉,원주)",해양융합과학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",6.4
"강원대(강릉,원주)",해양융합과학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",7
"강원대(강릉,원주)",해양융합과학과,종합,기회균형,"농어촌, 기초생활, 차상위, 한부모",
